18:02:17.885 INFO  bookmark-service [main] b.p.s.c.BookmarkControllerTest - Starting BookmarkControllerTest using Java 22.0.2 with PID 3836 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\bookmark-service)
18:02:17.887 DEBUG bookmark-service [main] b.p.s.c.BookmarkControllerTest - Running with Spring Boot v3.1.0, Spring v6.0.9
18:02:17.887 INFO  bookmark-service [main] b.p.s.c.BookmarkControllerTest - No active profile set, falling back to 1 default profile: "default"
18:02:17.909 INFO  bookmark-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
18:02:17.909 INFO  bookmark-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/bookmark-service/default": Connection refused: getsockopt. Will be trying the next url if available
18:02:17.910 WARN  bookmark-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@47ec7422 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/bookmark-service/default": Connection refused: getsockopt
18:02:17.910 INFO  bookmark-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
18:02:17.910 INFO  bookmark-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/bookmark-service/default": Connection refused: getsockopt. Will be trying the next url if available
18:02:17.910 WARN  bookmark-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@2d000e80 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/bookmark-service/default": Connection refused: getsockopt
18:02:17.910 INFO  bookmark-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
18:02:17.910 INFO  bookmark-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/bookmark-service/default": Connection refused: getsockopt. Will be trying the next url if available
18:02:17.910 WARN  bookmark-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@20e6c4dc uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/bookmark-service/default": Connection refused: getsockopt
18:02:19.036 INFO  bookmark-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
