17:24:47.534 INFO  comment-service [main] b.p.s.c.CommentControllerTest - Starting CommentControllerTest using Java 17.0.13 with PID 16204 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\comment-service)
17:24:47.536 DEBUG comment-service [main] b.p.s.c.CommentControllerTest - Running with Spring Boot v3.1.0, Spring v6.0.9
17:24:47.537 INFO  comment-service [main] b.p.s.c.CommentControllerTest - No active profile set, falling back to 1 default profile: "default"
17:24:47.559 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:24:47.561 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:24:47.562 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@6fd5717c uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:24:47.562 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:24:47.562 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:24:47.562 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@151db587 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:24:47.562 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:24:47.562 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:24:47.562 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@23811a09 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:24:48.791 INFO  comment-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:24:48.791 INFO  comment-service [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:24:48.792 INFO  comment-service [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
17:24:48.822 INFO  comment-service [main] b.p.s.c.CommentControllerTest - Started CommentControllerTest in 2.229 seconds (process running for 3.179)
17:24:48.936 INFO  comment-service [main] b.p.s.controller.CommentController - AddComment requested by user=joris for postId=7
17:24:49.003 INFO  comment-service [main] b.p.s.controller.CommentController - DeleteComment requested commentId=42 by user=ann
17:24:49.010 INFO  comment-service [main] b.p.s.controller.CommentController - GetCommentsByPostId called postId=5
17:24:49.023 INFO  comment-service [main] b.p.s.controller.CommentController - UpdateComment requested commentId=5 by user=ann
17:24:49.046 WARN  comment-service [main] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestHeaderException: Required request header 'username' for method parameter type String is not present]
17:25:22.530 INFO  comment-service [main] b.p.s.r.CommentRepositoryTest - Starting CommentRepositoryTest using Java 17.0.13 with PID 4616 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\comment-service)
17:25:22.532 DEBUG comment-service [main] b.p.s.r.CommentRepositoryTest - Running with Spring Boot v3.1.0, Spring v6.0.9
17:25:22.533 INFO  comment-service [main] b.p.s.r.CommentRepositoryTest - The following 1 profile is active: "test"
17:25:22.541 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:25:22.542 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:25:22.542 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@51d143a1 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:25:22.542 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:25:22.542 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/test": Connection refused: getsockopt. Will be trying the next url if available
17:25:22.542 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@1f6d27cc uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['test']]): I/O error on GET request for "http://localhost:8088/comment-service/test": Connection refused: getsockopt
17:25:22.542 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
