17:10:32.463 INFO  review-service [main] b.p.s.c.ReviewControllerTest - Starting ReviewControllerTest using Java 17.0.13 with PID 20136 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\review-service)
17:10:32.464 DEBUG review-service [main] b.p.s.c.ReviewControllerTest - Running with Spring Boot v3.1.0, Spring v6.0.9
17:10:32.465 INFO  review-service [main] b.p.s.c.ReviewControllerTest - No active profile set, falling back to 1 default profile: "default"
17:10:32.481 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:10:32.481 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:10:32.481 WARN  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@27b000f7 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt
17:10:33.846 INFO  review-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:10:33.846 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:10:33.847 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
17:10:33.873 INFO  review-service [main] b.p.s.c.ReviewControllerTest - Started ReviewControllerTest in 2.508 seconds (process running for 3.336)
17:11:02.544 INFO  review-service [main] b.p.s.r.ReviewRepositoryTest - Starting ReviewRepositoryTest using Java 17.0.13 with PID 32492 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\review-service)
17:11:02.546 DEBUG review-service [main] b.p.s.r.ReviewRepositoryTest - Running with Spring Boot v3.1.0, Spring v6.0.9
17:11:02.547 INFO  review-service [main] b.p.s.r.ReviewRepositoryTest - No active profile set, falling back to 1 default profile: "default"
17:11:02.556 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:11:02.556 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:11:02.556 WARN  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@56f71edb uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt
