18:03:19.901 INFO  review-service [main] b.p.s.ReviewServiceApplication - Starting ReviewServiceApplication using Java 23.0.1 with PID 35344 (C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\review-service\target\classes started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java)
18:03:19.903 DEBUG review-service [main] b.p.s.ReviewServiceApplication - Running with Spring Boot v3.1.0, Spring v6.0.9
18:03:19.904 INFO  review-service [main] b.p.s.ReviewServiceApplication - No active profile set, falling back to 1 default profile: "default"
18:03:19.954 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
18:03:19.956 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=review-service, profiles=[default], label=null, version=null, state=null
18:03:20.515 INFO  review-service [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
18:03:20.639 INFO  review-service [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 117 ms. Found 2 JPA repository interfaces.
18:03:20.848 INFO  review-service [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=8cb85935-ebca-357d-94c0-2d0a3a5c8510
18:03:20.916 INFO  review-service [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'be.pxl.services.client.PostClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
18:03:21.172 INFO  review-service [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
18:03:21.180 INFO  review-service [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
18:03:21.180 INFO  review-service [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
